npi,provider_name,entity_type,specialty_code,tin,network_status,address_line1,city,state,license_state
1972344646,FICTIONAL_JAMIE_WILLIAMS_MD,1,282N00000X,46-9838415,TIER_2,4765 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_0,DE,DE
2812577882,FICTIONAL_SKYLAR_HERNANDEZ_MD,1,207X00000X,86-3861888,TIER_2,6767 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_1,WV,WV
8443638704,FICTIONAL_JONES_MEDICAL_CENTER,2,2080P0203X,10-8660100,TIER_2,4924 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_2,WV,WV
7229410122,FICTIONAL_QUINN_MILLER_MD,1,207RC0000X,28-4931874,TIER_1,438 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_3,DC,DC
0447566429,FICTIONAL_DAVIS_MEDICAL_CENTER,2,2084P0800X,99-8071399,TIER_1,1531 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_4,MD,MD
5222805744,FICTIONAL_SKYLAR_BROWN_MD,1,207Q00000X,68-3061060,TIER_2,9793 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_5,PA,PA
0772716839,FICTIONAL_RILEY_WILSON_MD,1,2080P0203X,35-1074648,TIER_1,4305 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_6,WV,WV
6503206669,FICTIONAL_RODRIGUEZ_MEDICAL_CENTER,2,261Q00000X,72-7651203,TIER_1,4770 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_7,DC,DC
8186448618,FICTIONAL_ALEX_JOHNSON_MD,1,207Q00000X,74-4655564,OUT_OF_NETWORK,1996 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_8,NC,NC
5816667880,FICTIONAL_HAYDEN_MILLER_MD,1,207X00000X,21-3475456,OUT_OF_NETWORK,7818 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_9,DE,DE
1797889932,FICTIONAL_SKYLAR_HERNANDEZ_MD,1,261Q00000X,85-9861597,OUT_OF_NETWORK,9383 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_10,VA,VA
9679933082,FICTIONAL_HAYDEN_HERNANDEZ_MD,1,2084P0800X,59-5362148,IN_NETWORK,9481 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_11,NC,NC
8344292866,FICTIONAL_CASEY_LOPEZ_MD,1,207Q00000X,77-7528181,TIER_2,1279 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_12,DE,DE
8114909962,FICTIONAL_MILLER_MEDICAL_CENTER,2,2080P0203X,27-9044302,OUT_OF_NETWORK,3032 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_13,WV,WV
4182366870,FICTIONAL_AVERY_RODRIGUEZ_MD,1,2084P0800X,29-2032601,IN_NETWORK,8708 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_14,MD,MD
4884736057,FICTIONAL_CAMERON_GONZALEZ_MD,1,207X00000X,70-2435880,IN_NETWORK,1092 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_15,VA,VA
0910112818,FICTIONAL_ALEX_WILSON_MD,1,282N00000X,99-1220647,OUT_OF_NETWORK,8501 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_16,DC,DC
5351027979,FICTIONAL_SAGE_LOPEZ_MD,1,207RC0000X,47-3932028,TIER_2,9722 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_17,DC,DC
3458977949,FICTIONAL_QUINN_JONES_MD,1,207X00000X,63-9781659,TIER_1,2233 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_18,WV,WV
1619180221,FICTIONAL_SKYLAR_WILSON_MD,1,2080P0203X,78-8901993,IN_NETWORK,4167 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_19,WV,WV
8203575286,FICTIONAL_CAMERON_MARTINEZ_MD,1,282N00000X,39-2067723,OUT_OF_NETWORK,7831 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_20,DE,DE
5184094576,FICTIONAL_CAMERON_DAVIS_MD,1,282N00000X,23-6144031,TIER_2,3887 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_21,VA,VA
4629504265,FICTIONAL_CAMERON_JONES_MD,1,282N00000X,38-7045627,TIER_1,2727 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_22,PA,PA
0251172785,FICTIONAL_JAMIE_MARTINEZ_MD,1,2084P0800X,23-7165077,IN_NETWORK,8196 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_23,WV,WV
1434991752,FICTIONAL_HAYDEN_BROWN_MD,1,261Q00000X,17-5660379,TIER_2,7117 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_24,NC,NC
7207060600,FICTIONAL_HAYDEN_GARCIA_MD,1,207RC0000X,78-7351366,OUT_OF_NETWORK,5263 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_25,DC,DC
7648752559,FICTIONAL_SAGE_BROWN_MD,1,2084P0800X,53-2016944,IN_NETWORK,2648 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_26,WV,WV
5536402071,FICTIONAL_JONES_MEDICAL_CENTER,2,207R00000X,76-8693483,TIER_2,4345 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_27,DC,DC
5450587626,FICTIONAL_JORDAN_JOHNSON_MD,1,207R00000X,36-8168928,TIER_2,1087 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_28,VA,VA
8188165574,FICTIONAL_AVERY_MILLER_MD,1,207R00000X,85-8947328,TIER_2,5513 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_29,VA,VA
9385876906,FICTIONAL_SKYLAR_RODRIGUEZ_MD,1,207Q00000X,98-5493142,TIER_2,2969 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_30,NC,NC
2755771625,FICTIONAL_GONZALEZ_MEDICAL_CENTER,2,2080P0203X,67-2068565,OUT_OF_NETWORK,7044 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_31,DE,DE
1677572863,FICTIONAL_SKYLAR_GONZALEZ_MD,1,207R00000X,26-5480275,TIER_1,8436 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_32,MD,MD
2762746982,FICTIONAL_RILEY_WILLIAMS_MD,1,2080P0203X,46-6999755,OUT_OF_NETWORK,598 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_33,MD,MD
0278701533,FICTIONAL_JORDAN_MARTINEZ_MD,1,282N00000X,86-7338868,TIER_1,1579 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_34,VA,VA
5905619487,FICTIONAL_QUINN_GARCIA_MD,1,261Q00000X,56-2240022,OUT_OF_NETWORK,5570 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_35,MD,MD
5815914978,FICTIONAL_AVERY_MARTINEZ_MD,1,207R00000X,99-2549883,TIER_2,9429 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_36,PA,PA
5413591566,FICTIONAL_AVERY_GARCIA_MD,1,207RC0000X,40-6756306,TIER_1,1742 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_37,PA,PA
1668500857,FICTIONAL_ALEX_HERNANDEZ_MD,1,2084P0800X,65-1996180,TIER_2,2107 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_38,VA,VA
7170540026,FICTIONAL_ALEX_LOPEZ_MD,1,2080P0203X,50-5143808,OUT_OF_NETWORK,6533 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_39,PA,PA
9289812742,FICTIONAL_JORDAN_LOPEZ_MD,1,207Q00000X,73-5206278,TIER_2,7200 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_0,NC,NC
